date,cy_date,year,month_name,date_yy_mmm
01-01-2024,01-01-2024,2024,January,"24-Jan"
02-01-2024,01-01-2024,2024,January,"24-Jan"
03-01-2024,01-01-2024,2024,January,"24-Jan"
04-01-2024,01-01-2024,2024,January,"24-Jan"
05-01-2024,01-01-2024,2024,January,"24-Jan"
06-01-2024,01-01-2024,2024,January,"24-Jan"
07-01-2024,01-01-2024,2024,January,"24-Jan"
08-01-2024,01-01-2024,2024,January,"24-Jan"
09-01-2024,01-01-2024,2024,January,"24-Jan"
10-01-2024,01-01-2024,2024,January,"24-Jan"
11-01-2024,01-01-2024,2024,January,"24-Jan"
12-01-2024,01-01-2024,2024,January,"24-Jan"
13-01-2024,01-01-2024,2024,January,"24-Jan"
14-01-2024,01-01-2024,2024,January,"24-Jan"
15-01-2024,01-01-2024,2024,January,"24-Jan"
16-01-2024,01-01-2024,2024,January,"24-Jan"
17-01-2024,01-01-2024,2024,January,"24-Jan"
18-01-2024,01-01-2024,2024,January,"24-Jan"
19-01-2024,01-01-2024,2024,January,"24-Jan"
20-01-2024,01-01-2024,2024,January,"24-Jan"
21-01-2024,01-01-2024,2024,January,"24-Jan"
22-01-2024,01-01-2024,2024,January,"24-Jan"
23-01-2024,01-01-2024,2024,January,"24-Jan"
24-01-2024,01-01-2024,2024,January,"24-Jan"
25-01-2024,01-01-2024,2024,January,"24-Jan"
26-01-2024,01-01-2024,2024,January,"24-Jan"
27-01-2024,01-01-2024,2024,January,"24-Jan"
28-01-2024,01-01-2024,2024,January,"24-Jan"
29-01-2024,01-01-2024,2024,January,"24-Jan"
30-01-2024,01-01-2024,2024,January,"24-Jan"
31-01-2024,01-01-2024,2024,January,"24-Jan"
01-02-2024,01-02-2024,2024,February,"24-Feb"
02-02-2024,01-02-2024,2024,February,"24-Feb"
03-02-2024,01-02-2024,2024,February,"24-Feb"
04-02-2024,01-02-2024,2024,February,"24-Feb"
05-02-2024,01-02-2024,2024,February,"24-Feb"
06-02-2024,01-02-2024,2024,February,"24-Feb"
07-02-2024,01-02-2024,2024,February,"24-Feb"
08-02-2024,01-02-2024,2024,February,"24-Feb"
09-02-2024,01-02-2024,2024,February,"24-Feb"
10-02-2024,01-02-2024,2024,February,"24-Feb"
11-02-2024,01-02-2024,2024,February,"24-Feb"
12-02-2024,01-02-2024,2024,February,"24-Feb"
13-02-2024,01-02-2024,2024,February,"24-Feb"
